Symbol,Company Name,Industry,Market Cap
ADN,Advent Technologies Holdings,Utilities-Renewable,235.77M
ADNT,Adient,Auto Components,4.11B
ADOC,Edoc Acquisition,Blank Check / SPAC,121.07M
ADP,Automatic Data Processing,IT Services,91.50B
ADPT,Adaptive Biotechnologies,Life Sciences Tools &amp; Services,2.31B
ADRA,Adara Acquisition,Blank Check / SPAC,140.73M
ADS,Alliance Data Systems,IT Services,3.21B
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment &amp; Parts,144.05M
ADSK,Autodesk,Software,52.62B
ADT,ADT Inc.,Commercial Services &amp; Supplies,5.97B
ADTH,AdTheorent Holding Company,Advertising Agencies,417.34M
ADTN,ADTRAN,Communications Equipment,848.98M
ADTX,Aditx,Biotechnology,15.50M
ADUS,Addus HomeCare,Health Care Providers &amp; Services,1.23B
ADV,Advantage Solutions,Advertising Agencies,2.12B
ADVM,Adverum Biotechnologies,Biotechnology,152.14M
ADXN,Addex Therapeutics,Biotechnology,38.02M
ADXS,Advaxis,Biotechnology,18.92M
AE,Adams Resources &amp; Energy,"Oil, Gas &amp; Consumable Fuels",134.57M
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,292.20M
AEAE,AltEnergy Acquisition,Blank Check / SPAC,247.25M
AEE,Ameren,Multi-Utilities,22.60B
AEG,Aegon,Insurance,11.23B
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,126.04M
AEHL,Antelope Enterprise Holdings,Building Products &amp; Equipment,7.30M
AEHR,Aehr Test Systems,Semiconductors &amp; Semiconductor Equipment,299.29M
AEI,Alset EHome International,Real Estate-Development,28.09M
AEIS,Advanced Energy Industries,Semiconductors &amp; Semiconductor Equipment,3.23B
AEL,American Equity Investment Life Holding Company,Insurance,4.01B
AEM,Agnico Eagle Mines,Metals &amp; Mining,12.53B
AEMD,Aethlon Medical,Health Care Equipment &amp; Supplies,24.94M
AENZ,Aenza,Engineering &amp; Construction,336.34M
AEO,American Eagle Outfitters,Specialty Retail,3.58B
AEP,American Electric Power Company,Electric Utilities,44.66B
AER,AerCap Holdings,Trading Companies &amp; Distributors,15.50B
AERC,AeroClean Technologies,Pollution &amp; Treatment Controls,72.30M
AERI,Aerie Pharmaceuticals,Pharmaceuticals,318.72M
AES,The AES Corporation,Independent Power and Renewable Elect...,15.30B
AESE,Allied Esports Entertainment,"Hotels, Restaurants &amp; Leisure",70.46M
AEVA,Aeva Technologies,Auto Parts,1.01B
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments &amp; C...",16.63M
AEYE,AudioEye,Software,64.72M
AEZS,AEterna Zentaris,Biotechnology,40.29M
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,213.04M
AFAQ,AF Acquisition,Blank Check / SPAC,271.74M
AFBI,Affinity Bancshares,Banks,109.23M
AFCG,AFC Gamma,REIT-Specialty,373.50M
AFG,American Financial Group,Insurance,10.77B
AFI,Armstrong Flooring,Building Products,46.46M
AFIB,Acutus Medical,Medical Devices,64.85M
AFIN,American Finance Trust,"Equity Real Estate 
Investment Trusts...",1.03B
AFL,Aflac,Insurance,40.26B
AFMD,Affimed,Biotechnology,481.58M
AFRM,Affirm Holdings,IT Services,16.19B
AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,300.94M
AFYA,Afya Limited,Diversified Consumer Services,1.16B
AG,First Majestic Silver,Metals &amp; Mining,2.85B
AGAC,African Gold Acquisition,Blank Check / SPAC,501.46M
AGBA,AGBA Acquisition,Blank Check / SPAC,55.34M
AGCB,Altimeter Growth 2,Blank Check / SPAC,570.47M
AGCO,AGCO Corporation,Machinery,8.79B
AGE,AgeX Therapeutics,Biotechnology,29.51M
AGEN,Agenus,Biotechnology,688.31M
AGFS,AgroFresh Solutions,Chemicals,105.74M
AGFY,Agrify,Machinery,144.72M
AGGR,Agile Growth,Blank Check / SPAC,375.49M
AGI,Alamos Gold,Metals &amp; Mining,2.77B
AGIL,AgileThought,Software-Application,249.39M
AGIO,Agios Pharmaceuticals,Biotechnology,1.62B
AGL,agilon health,Medical Care Facilities,6.42B
AGLE,Aeglea Biotherapeutics,Biotechnology,213.06M
AGM,Federal Agricultural Mortgage,Thrifts &amp; Mortgage Finance,1.32B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.32B
AGMH,AGM Group Holdings,Capital Markets,45.60M
AGNC,AGNC Investment,"Mortgage Real Estate Investment 
Trus...",7.73B
AGO,Assured Guaranty,Insurance,3.61B
AGR,Avangrid,Electric Utilities,17.86B
AGRI,AgriFORCE Growing Systems,Farm Products,20.18M
AGRO,Adecoagro,Food Products,820.39M
AGRX,Agile Therapeutics,Pharmaceuticals,36.42M
AGS,PlayAGS,"Hotels, Restaurants &amp; Leisure",282.50M
AGTC,Applied Genetic Technologies,Biotechnology,67.30M
AGTI,Agiliti,Health Information Services,2.48B
AGX,Argan,Construction &amp; Engineering,587.89M
AGYS,Agilysys,Software,886.00M
AHCO,AdaptHealth,Health Care Providers &amp; Services,2.43B
AHG,Akso Health Group,Credit Services,70.82M
AHH,Armada Hoffler Properties,"Equity Real Estate 
Investment Trusts...",917.63M
AHI,Advanced Human Imaging,Software-Application,85.01M
AHPA,Avista Public Acquisition II,Blank Check / SPAC,286.35M
AHPI,Allied Healthcare Products,Health Care Equipment &amp; Supplies,14.69M
AHT,Ashford Hospitality Trust,"Equity Real Estate 
Investment Trusts...",290.14M
AI,C3.ai,Software,2.67B
AIG,American International Group,Insurance,47.59B
AIH,Aesthetic Medical International Holdings Group,Health Care Providers &amp; Services,88.96M
AIHS,Senmiao Technology,Consumer Finance,18.33M
AIKI,AIkido Pharma,Biotechnology,42.07M
AIM,AIM ImmunoTech,Biotechnology,40.67M
AIMC,Altra Industrial Motion,Machinery,3.06B
AIN,Albany International,Machinery,2.70B
AINC,Ashford,Capital Markets,46.49M
AINV,Apollo Investment,Capital Markets,831.46M
AIP,Arteris,Semiconductors,376.46M
AIR,AAR Corp.,Aerospace &amp; Defense,1.41B
AIRC,Apartment Income REIT,"Equity Real Estate 
Investment Trusts...",8.13B
AIRG,Airgain,"Electronic Equipment, Instruments &amp; C...",96.06M
AIRI,Air Industries Group,Aerospace &amp; Defense,26.67M
AIRS,AirSculpt Technologies,Medical Care Facilities,722.21M
AIRT,Air T,Air Freight &amp; Logistics,72.08M
